51.9112929	6.3805494	Terborgseweg	7064AA	3A
51.9112546	6.3806619	Terborgseweg	7064AA	5
51.9114632	6.3805547	Terborgseweg	7064AA	7
51.9116005	6.3805675	Terborgseweg	7064AA	9
51.9117031	6.3806052	Terborgseweg	7064AA	11
51.9117672	6.3806162	Terborgseweg	7064AA	11A
51.9118135	6.3804807	Terborgseweg	7064AA	11B
51.9117038	6.3805206	Terborgseweg	7064AA	11C
51.9117750	6.3805414	Terborgseweg	7064AA	11D
51.9118901	6.3806005	Terborgseweg	7064AA	13
51.9122041	6.3804869	Terborgseweg	7064AA	15
51.9122651	6.3804600	Terborgseweg	7064AA	15A
51.9124073	6.3803743	Terborgseweg	7064AA	17
51.9125112	6.3803381	Terborgseweg	7064AA	17A
51.9126490	6.3802596	Terborgseweg	7064AA	17B
51.9127818	6.3802011	Terborgseweg	7064AA	19
51.9127618	6.3801026	Terborgseweg	7064AA	19A
51.9129840	6.3799520	Terborgseweg	7064AA	21
51.9132671	6.3797789	Terborgseweg	7064AA	23
51.9134025	6.3797172	Terborgseweg	7064AA	25
51.9135008	6.3795877	Terborgseweg	7064AA	27
51.9135911	6.3795041	Terborgseweg	7064AA	29
51.9137397	6.3792479	Terborgseweg	7064AA	31
51.9139737	6.3788589	Terborgseweg	7064AA	33
51.9141495	6.3785591	Terborgseweg	7064AA	35
51.9143483	6.3781797	Terborgseweg	7064AA	37
51.9147561	6.3776251	Terborgseweg	7064AB	39
51.9148855	6.3774066	Terborgseweg	7064AB	41
51.9150091	6.3771987	Terborgseweg	7064AB	43
51.9151278	6.3769954	Terborgseweg	7064AB	45
51.9152505	6.3767701	Terborgseweg	7064AB	47
51.9153743	6.3766338	Terborgseweg	7064AB	49
51.9154746	6.3764623	Terborgseweg	7064AB	51
51.9155672	6.3763168	Terborgseweg	7064AB	53
51.9156594	6.3761702	Terborgseweg	7064AB	55
51.9157080	6.3760761	Terborgseweg	7064AB	55A
51.9157975	6.3759512	Terborgseweg	7064AB	57
51.9159403	6.3757260	Terborgseweg	7064AB	59
51.9160079	6.3756257	Terborgseweg	7064AB	61
51.9160384	6.3755767	Terborgseweg	7064AB	61A
51.9160972	6.3754727	Terborgseweg	7064AB	63
51.9161952	6.3753350	Terborgseweg	7064AB	65
51.9163127	6.3751335	Terborgseweg	7064AB	67
51.9164421	6.3749688	Terborgseweg	7064AB	69
51.9165314	6.3748178	Terborgseweg	7064AB	71
51.9165849	6.3747286	Terborgseweg	7064AB	73A
51.9115460	6.3809699	Harbershoek	7064AC	1
51.9114944	6.3809663	Harbershoek	7064AC	2
51.9114337	6.3809616	Harbershoek	7064AC	3
51.9113983	6.3809600	Harbershoek	7064AC	4
51.9112097	6.3810867	Harbershoek	7064AC	4-6
51.9113296	6.3809651	Harbershoek	7064AC	5
51.9112793	6.3809623	Harbershoek	7064AC	6
51.9112208	6.3810452	Harbershoek	7064AC	7
51.9111924	6.3811528	Harbershoek	7064AC	8
51.9115436	6.3810172	Harbershoek	7064AC	9
51.9114959	6.3810171	Harbershoek	7064AC	10
51.9114358	6.3810173	Harbershoek	7064AC	11
51.9113976	6.3810165	Harbershoek	7064AC	12
51.9113321	6.3810192	Harbershoek	7064AC	13
51.9112718	6.3810265	Harbershoek	7064AC	14
51.9112444	6.3811129	Harbershoek	7064AC	15
