51.9683765	6.3100524	Verdilaan	7002LR	100
51.9748153	6.3051743	Verzetslaan	7002CX	100
51.9703557	6.3021603	Vondelstraat	7002AT	100
51.9748016	6.3123797	Zjoekowstraat	7002DR	100
51.9751506	6.3148385	de Gaullestraat	7002DZ	100
51.9714922	6.3058869	de Jongstraat	7002AL	100
51.9743575	6.3173231	van Starkenborghstraat	7002EH	100
51.9755365	6.3063839	Bilderdijkstraat	7002AB	100A
51.9683506	6.3043876	Beethovenlaan	7002MN	101
51.9738464	6.3149616	Houtsmastraat	7002KD	101
51.9722172	6.3012010	Kloosstraat	7002BR	101
51.9733518	6.3046424	Marsmanstraat	7002AZ	101
51.9741242	6.3221659	Airbornestraat	7002EX	102
51.9756938	6.3132142	Bevrijdingsstraat	7002CP	102
51.9705947	6.3174570	Boerhaavelaan	7002HZ	102
51.9726957	6.3219495	Caenstraat	7002GC	102
51.9723175	6.3110446	Eduard Schilderinkstraat	7002JJ	102
51.9727463	6.3154168	Houtsmastraat	7002KJ	102
51.9726067	6.3045087	Marsmanstraat	7002BC	102
51.9752078	6.3099319	Rooseveltstraat	7002DL	102
51.9683766	6.3100526	Verdilaan	7002LR	102
51.9748151	6.3051742	Verzetslaan	7002CZ	102
51.9703556	6.3021604	Vondelstraat	7002AT	102
51.9748541	6.3123802	Zjoekowstraat	7002DR	102
51.9752037	6.3148386	de Gaullestraat	7002DZ	102
51.9715297	6.3058167	de Jongstraat	7002AL	102
51.9744096	6.3173233	van Starkenborghstraat	7002EH	102
51.9683508	6.3043876	Beethovenlaan	7002MN	103
51.9738463	6.3148469	Houtsmastraat	7002KD	103
51.9722303	6.3012199	Kloosstraat	7002BR	103
51.9733518	6.3046426	Marsmanstraat	7002AZ	103
51.9741238	6.3222518	Airbornestraat	7002EX	104
51.9756938	6.3133076	Bevrijdingsstraat	7002CP	104
51.9705943	6.3173643	Boerhaavelaan	7002HZ	104
51.9726957	6.3219493	Caenstraat	7002GC	104
51.9722632	6.3110448	Eduard Schilderinkstraat	7002JJ	104
51.9727461	6.3154168	Houtsmastraat	7002KJ	104
51.9726066	6.3045085	Marsmanstraat	7002BC	104
51.9752642	6.3099324	Rooseveltstraat	7002DL	104
51.9683766	6.3100528	Verdilaan	7002LR	104
51.9748149	6.3051741	Verzetslaan	7002CZ	104
51.9703555	6.3021606	Vondelstraat	7002AT	104
51.9749147	6.3123808	Zjoekowstraat	7002DR	104
51.9752642	6.3148386	de Gaullestraat	7002DZ	104
51.9711697	6.3048001	de Jongstraat	7002AL	104
51.9744671	6.3173234	van Starkenborghstraat	7002EH	104
51.9683510	6.3043877	Beethovenlaan	7002MN	105
51.9670833	6.3117991	Boddens Hosangstraat	7002JA	105
51.9722434	6.3012387	Kloosstraat	7002BR	105
51.9733518	6.3046428	Marsmanstraat	7002AZ	105
51.9741232	6.3223417	Airbornestraat	7002EX	106
51.9756938	6.3133947	Bevrijdingsstraat	7002CP	106
51.9705940	6.3172700	Boerhaavelaan	7002HZ	106
51.9732400	6.3225741	Caenstraat	7002GD	106
51.9722053	6.3110452	Eduard Schilderinkstraat	7002JJ	106
51.9727459	6.3154167	Houtsmastraat	7002KJ	106
51.9726064	6.3045084	Marsmanstraat	7002BD	106
51.9754073	6.3100382	Rooseveltstraat	7002DL	106
51.9683767	6.3100529	Verdilaan	7002LR	106
51.9748147	6.3051740	Verzetslaan	7002CZ	106
51.9703554	6.3021608	Vondelstraat	7002AT	106
51.9712029	6.3048478	de Jongstraat	7002AL	106
51.9745264	6.3173234	van Starkenborghstraat	7002EH	106
51.9683512	6.3043877	Beethovenlaan	7002MN	107
51.9722565	6.3012575	Kloosstraat	7002BR	107
51.9733518	6.3046430	Marsmanstraat	7002AZ	107
51.9676207	6.3082415	Varsseveldseweg	7002LK	107
51.9744377	6.3225044	Airbornestraat	7002EZ	108
51.9756940	6.3134891	Bevrijdingsstraat	7002CP	108
51.9705947	6.3171767	Boerhaavelaan	7002HZ	108
51.9732400	6.3225739	Caenstraat	7002GD	108
51.9721494	6.3110456	Eduard Schilderinkstraat	7002JJ	108
51.9727457	6.3154167	Houtsmastraat	7002KJ	108
51.9726063	6.3045082	Marsmanstraat	7002BD	108
51.9683768	6.3100531	Verdilaan	7002LR	108
51.9748146	6.3051739	Verzetslaan	7002CZ	108
51.9703553	6.3021609	Vondelstraat	7002AT	108
51.9712364	6.3048963	de Jongstraat	7002AL	108
51.9745772	6.3173237	van Starkenborghstraat	7002EH	108
51.9683514	6.3043877	Beethovenlaan	7002MN	109
51.9756739	6.3029304	Bezelhorstweg	7002CC	109
51.9722696	6.3012763	Kloosstraat	7002BR	109
51.9733518	6.3046432	Marsmanstraat	7002AZ	109
51.9670655	6.3083854	Varsseveldseweg	7002LK	109
51.9739000	6.3201995	Airbornestraat	7002ET	11
51.9762027	6.3208742	Anne Frankstraat	7002CT	11
51.9672944	6.3028607	Bachlaan	7002MZ	11
51.9754881	6.3200954	Bastognestraat	7002EM	11
51.9681901	6.3033951	Beethovenlaan	7002MJ	11
51.9718251	6.3018068	Beetsstraat	7002BJ	11
51.9765234	6.3040182	Beukenhage	7002CG	11
51.9688225	6.3088572	Bizetlaan	7002LV	11
51.9751520	6.3186280	Boddens Hosangstraat	7002JA	11
51.9710723	6.3165164	Boerhaavelaan	7002HT	11
51.9692388	6.3015023	Brederostraat	7002AG	11
51.9673647	6.3128889	Burgemeester Kehrerstraat	7002LA	11
51.9731035	6.3208742	Caenstraat	7002GA	11
51.9754014	6.3115477	Churchillstraat	7002DM	11
51.9677624	6.3054103	Diepenbrocklaan	7002MG	11
51.9732673	6.3184583	Einthovenlaan	7002HE	11
51.9753184	6.3081089	Eisenhowerstraat	7002DE	11
51.9757118	6.3141894	Gerbrandystraat	7002EA	11
51.9687341	6.2997596	Heijermansstraat	7002AD	11
51.9729037	6.3144551	Houtsmastraat	7002KA	11
51.9753160	6.3165142	Karel Doormanstraat	7002EB	11
51.9678795	6.3061815	Landrélaan	7002ME	11
51.9715161	6.3174567	Lorentzlaan	7002HA	11
51.9733518	6.3046334	Marsmanstraat	7002AZ	11
